,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status,SOP,LOR 
335,330,165,165,118,3.56,7,0,reject,4,4.5
336,309,159,150,104,3.14,17,0,reject,3,2.5
337,305,155,150,101,2.65,24,2,reject,5,5
338,291,152,139,101,2.45,7,0,reject,4,4
339,291,152,139,101,2.45,7,0,reject,3.5,4
340,312,150,162,0,3.44,0,0,reject,3,3
341,310,160,150,103,3.42,36,0,reject,3.5,3.5
342,317,167,150,99,3.3,30,0,reject,3,3
343,315,169,146,98,3.15,24,0,reject,2.5,3.5
344,308,160,148,98,2.42,6,3,reject,1.5,2
345,322,170,152,107,3.56,39,0,reject,1.5,2
346,313,163,150,0,2.94,23,3,reject,1.5,2
347,308,163,145,0,2.87,0,0,reject,1,1
348,310,161,149,90,2.65,48,0,reject,2,2
349,304,162,142,95,2.4,3,3,reject,2.5,3
350,306,158,148,0,3.84,30,0,reject,3,3.5
351,310,163,147,101,3.06,14,3,reject,3.5,4
352,316,165,151,112,3.09,1,1,reject,3,3.5
353,306,159,147,96,2.61,44,0,reject,3.5,2.5
354,309,160,149,93,2.85,2,3,reject,2.5,3
355,309,160,149,93,2.85,2,3,reject,2,3.5
356,320,170,150,104,3.42,9,0,reject,3.5,4
357,303,162,141,101,3.27,12,0,reject,3.5,3.5
358,307,164,143,101,3.24,34,0,reject,2.5,2
359,305,160,145,104,3.31,20,0,reject,2,1.5
360,313,162,151,97,3.12,28,0,reject,4,5
361,324,165,159,110,2.6,12,0,reject,4,3.5
362,307,160,147,111,2.8,0,0,reject,4.5,5
363,307,156,151,102,2.8,0,0,reject,2.5,3
364,324,169,155,112,3.1,14,0,reject,3.5,4
365,312,167,145,0,3.12,33,0,reject,4.5,3
366,312,162,150,0,3.45,1,3,reject,3.5,4.5
367,306,161,145,75,2.89,18,3,reject,1,2.5
368,327,168,159,115,2.8,15,0,reject,2,2
369,319,167,152,107,3.44,0,0,reject,2,3
370,326,167,159,0,2,36,0,reject,2.5,2.5
371,311,160,151,108,3.18,50,0,reject,3.5,3
372,316,163,153,104,3.04,21,0,reject,4.5,4
373,304,159,145,96,2.52,20,0,reject,3,3
374,318,165,153,116,2.23,25,0,reject,2,2.5
375,312,161,151,109,3.21,18,0,reject,2,2.5
376,317,165,152,105,3.08,1,0,reject,2.5,2
377,319,164,155,109,2.88,4,0,reject,1.5,2
378,322,167,155,101,2.69,26,3,reject,2,2.5
379,308,160,148,101,2.85,0,3,reject,2.5,3
380,311,156,155,98,2.76,12,0,reject,3.5,4
381,313,167,146,93,3.52,30,0,reject,3,3.5
382,316,166,150,99,2.4,0,0,reject,4.5,4
383,311,162,149,96,3.33,2,1,reject,3,3.5
384,307,157,150,0,3.23,8,0,reject,5,5
385,322,169,153,111,3.15,41,0,reject,5,5
386,313,161,152,106,3.1,0,3,reject,2.5,3.5
387,323,166,157,0,3.23,25,3,reject,2,3.5
388,318,162,156,0,3.8,0,0,reject,1.5,2
389,304,160,144,100,3.12,1,0,reject,3.5,4
390,316,163,153,96,2.86,4,0,reject,2,2.5
391,315,168,147,104,2.96,15,3,reject,2,3
392,317,159,158,99,3.31,38,0,reject,4,3.5
393,307,161,146,101,3.32,20,0,reject,3,3
394,318,158,160,111,2.05,12,3,reject,4.5,4
395,307,161,146,101,3.17,2,3,reject,3.5,3.5
396,312,167,145,101,3.42,0,0,reject,3,3.5
397,313,162,151,98,3.16,15,3,reject,5,4.5
398,314,162,152,91,2.82,15,0,reject,3.5,4
399,300,155,145,103,3.1,2,0,reject,5,4
400,313,170,143,65,2.63,9,0,reject,3.5,3
401,314,162,152,111,3.11,1,0,reject,3,3
402,305,155,150,101,3.36,24,3,reject,3.5,3
403,307,159,148,93,2.98,15,3,reject,4,3.5
404,311,162,149,105,2.45,0,0,reject,2,2.5
405,311,162,149,105,2.45,0,0,reject,2.5,3
406,326,170,156,111,3.47,20,0,reject,3,2.5
407,325,166,159,111,2.7,30,0,reject,2.5,4
408,319,162,157,104,3.3,18,0,reject,2,4
409,307,158,149,107,2.92,12,0,reject,2,2.5
410,309,158,151,109,3.08,23,3,reject,3,4
411,312,167,145,85,3.3,30,0,reject,2.5,1.5
412,309,159,150,99,3.2,42,0,reject,2.5,2
413,308,159,149,101,2.69,0,0,reject,3,2
414,320,169,151,106,3.01,25,0,reject,3.5,4
415,323,165,158,109,2.88,2,0,reject,4,4.5
416,307,166,141,101,3.62,22,3,reject,4,2.5
417,312,163,149,103,3.4,13,0,reject,3.5,2
418,306,161,145,100,3.26,0,3,reject,2.5,4
419,318,167,151,103,2.84,10,3,reject,2,3.5
420,310,160,150,0,3.51,4,0,reject,2,3
421,312,161,151,104,2.5,2,1,reject,3,4.5
422,306,157,149,95,3.12,42,0,reject,3.5,2.5
423,309,163,146,100,3.5,15,0,reject,4.5,5
424,307,160,147,101,3.48,19,0,reject,4,5
425,311,162,149,0,2.25,29,0,reject,4,5
426,307,164,143,93,3.21,22,3,reject,3,5
427,316,162,154,96,2.82,24,0,reject,3.5,5
428,307,158,149,105,2.72,10,3,reject,2,4.5
429,324,169,155,112,3.16,15,3,reject,5,4.5
430,308,163,145,83,3.36,2,0,reject,4,3.5
431,307,159,148,75,3.44,0,3,reject,3.5,3.5
432,307,161,146,101,2.1,33,0,reject,4.5,4
433,310,155,155,111,2.96,15,0,reject,4,5
434,310,155,155,111,2.96,15,0,reject,3.5,3
435,318,160,158,0,2.91,0,0,reject,2.5,4
436,319,160,159,111,3.14,10,3,reject,1.5,4
437,317,169,148,95,3.24,0,0,reject,1.5,3.5
438,311,167,144,101,3.21,10,0,reject,2.5,3.5
439,316,163,153,0,3.73,1,0,reject,1.5,3
440,322,167,155,113,3.56,0,0,reject,2.5,1.5
441,314,165,149,108,2.08,0,1,reject,1.5,3
442,306,163,143,92,2.99,7,1,reject,4.5,4.5
443,311,163,148,101,3.56,22,0,reject,4.5,4.5
444,321,167,154,112,3.44,37,0,reject,4,5
445,323,167,156,110,3,29,0,reject,4.5,5
446,322,166,156,108,3.28,45,0,reject,5,5
447,325,170,155,106,2.59,31,0,reject,3.5,5
448,316,162,154,117,3.64,4,1,reject,2.5,4
449,314,168,146,0,3.23,0,0,reject,3.5,4.5
450,307,160,147,75,3.48,11,0,reject,3,4.5
451,315,166,149,0,3.08,4,0,reject,4.5,4.5
452,320,164,156,114,2.54,29,0,reject,5,3.5
453,311,164,147,105,3.2,15,3,reject,2.5,4
454,313,160,153,107,2.4,11,0,reject,3,3.5
455,315,166,149,98,3.26,26,0,reject,1.5,2.5
456,303,152,151,94,2.99,38,0,reject,2,2
457,308,162,146,0,2.57,6,0,reject,2,1.5
458,308,162,146,0,2.57,6,0,reject,3,3
459,300,156,144,95,2.9,16,3,reject,4,3.5
460,308,163,145,87,2.67,48,1,reject,4,4.5
461,313,165,148,96,3.57,6,0,reject,2.5,2
462,321,167,154,114,3.08,0,3,reject,3,3
463,315,167,148,0,2.94,0,3,reject,3.5,3
464,324,170,154,106,3.48,27,0,reject,2,3
465,308,158,150,100,2.65,0,0,reject,3,4.5
466,314,162,152,112,2.07,11,3,reject,3.5,4.5
467,318,166,152,102,2.77,8,3,reject,3.5,5
468,308,161,147,0,1.94,36,3,reject,4,5
469,312,161,151,0,3.14,2,0,reject,4,3.5
470,315,163,152,92,3.04,26,0,reject,4,4
471,318,160,158,109,2.87,41,0,reject,2,4
472,324,167,157,112,2.65,6,3,reject,4,4.5
473,312,166,146,86,3,38,0,reject,4,3.5
474,312,166,146,86,3,38,0,reject,3,2.5
475,312,148,164,90,3.39,33,0,reject,3.5,2.5
476,322,152,170,101,2.72,0,0,reject,2.5,2
477,309,164,145,94,2.92,2,0,reject,3.5,2
478,300,155,145,93,3.12,13,0,reject,4,4.5
479,310,162,148,95,3.2,0,3,reject,4.5,4
480,301,155,146,102,2.8,1,0,reject,3.5,4
481,311,160,151,94,2.72,52,0,reject,3,2.5
482,308,158,150,105,3.21,0,0,reject,4,2.5
483,328,168,160,0,2.72,19,3,reject,5,3
484,316,164,152,101,1.95,14,2,reject,3.5,3
485,313,159,154,104,2.88,19,0,reject,2.5,3.5
486,312,157,155,108,2.84,24,3,reject,2.5,2.5
487,315,161,154,101,3.31,12,0,reject,3.5,4
488,331,170,161,111,2.4,0,0,reject,3,4
489,320,162,158,0,3.14,19,3,reject,4,4.5
490,313,164,149,101,2.96,33,3,reject,2.5,4.5
491,313,164,149,101,2.96,33,3,reject,3,3.5
492,321,170,151,103,3.12,22,3,reject,2.5,4.5
493,318,165,153,107,2.4,30,2,reject,3,1.5
494,321,167,154,113,2.15,28,0,reject,2.5,2
495,320,165,155,108,3.4,18,0,reject,4.5,4
496,304,163,141,98,3.31,0,0,reject,5,5
497,309,164,145,92,3.22,0,0,reject,4.5,5
498,319,165,154,97,3.3,18,0,reject,4,5
499,323,168,155,104,3.64,20,3,reject,4.5,4.5
500,322,167,155,117,3.53,2,3,reject,4.5,4.5
501,320,170,150,104,2.25,35,0,reject,4,4.5
502,315,165,150,103,3.75,4,1,reject,3,3.5
503,311,167,144,99,3.18,7,0,reject,3.5,2.5
504,308,157,151,96,3.01,15,0,reject,2,3
505,328,163,165,0,2.25,0,0,reject,4.5,3
506,313,156,157,105,3.23,17,3,reject,3,4
507,321,170,151,75,3.32,0,0,reject,3,4
508,311,165,146,104,2.82,0,0,reject,2,1.5
509,308,160,148,106,2.5,0,0,reject,3.5,3
510,325,167,158,113,3.44,14,0,reject,3.5,4
511,309,163,146,94,3.65,2,0,reject,4,4.5
512,315,164,151,105,3.32,27,0,reject,4,4.5
513,303,161,142,99,3.53,0,3,reject,4,3
514,314,166,148,104,3.63,5,0,reject,3.5,2
515,308,166,142,0,3.37,0,0,reject,3.5,2.5
